Descrição;Placa do Veículo;Última Quilometragem;Quantidade de Baias;Tamanho da baia;Perfil do veículo;Tipo do veículo;Transportadora;Baias Personalizadas
0764;BWJ5J74;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BWJ9811;0;14;42;Freteiro;;Ambev;Não
CARRETA;BWK2799;0;26;42;Freteiro;;Ambev;Não
0764;BWK2818;4444;26;42;Freteiro;;Ambev;Não
;BWO0196;0;18;42;Frota Fixa;;Fabio Alves da Silveira;Não
TRUCK;BWO3931;0;10;42;Freteiro;;Ambev;Não
;BWQ6695;0;18;42;Frota Fixa;;Fabio Alves da Silveira;Não
0764;BWS1656;0;26;42;Freteiro;;Ambev;Não
;BWT8926;0;18;42;Frota Fixa;;Fabio Alves da Silveira;Não
0764;BWV0D36;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BWV4H79;0;26;42;Frota Fixa;;Ambev;Não
0764;BWV6A38;0;28;42;Frota Fixa;;PDV POSITIVA LOGISTICA E TRANSPORTE EIRE;Não
0764;BWV9794;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BWW5855;0;28;42;Frota Fixa;;Ambev;Não
0764;BWX1061;0;42;42;Frota Fixa;;Ambev;Não
0764;BWY2755;16;28;28;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BXE7244;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
;BXF0028;0;18;42;Frota Fixa;;Fabio Alves da Silveira;Não
0764;BXF4534;0;28;42;Freteiro;;Ambev;Não
CARRETA;BXJ2270;0;26;42;Freteiro;;Ambev;Não
;BXJ3221;0;18;42;Frota Fixa;;Fabio Alves da Silveira;Não
CARRETA;BXJ5318;555555;22;42;Freteiro;;Ambev;Não
CARRETA;BXJ5476;0;22;42;Freteiro;;Syder Transportes Ltda;Não
0764;BXJ8B67;0;14;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BXQ8E56;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BXS9700;0;28;42;Frota Fixa;;Ambev;Não
0764;BXZ1I35;0;12;42;Frota Fixa;;Ambev;Não
0764;BXZ7244;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BXZ8B77;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
;BYA0801;0;18;42;Frota Fixa;;Fabio Alves da Silveira;Não
0764;BYB6424;0;10;42;Freteiro;;Ambev;Não
555555;BYB8231;46464;6;42;Freteiro;;PDV POSITIVA LOGISTICA E TRANSPORTE EIRE;Não
555555;BYB8C31;555;6;42;Freteiro;;PDV POSITIVA LOGISTICA E TRANSPORTE EIRE;Não
