Id,Side,Number,BaySize,VehicleId,VehicleBayIdLegacy
657,1,1,35,162184,NULL
658,1,2,42,162184,NULL
659,1,3,35,162184,NULL
660,1,4,42,162184,NULL
661,0,1,35,162185,NULL
662,0,2,42,162185,NULL
663,0,3,35,162185,NULL
664,0,4,42,162185,NULL
665,1,1,35,162185,NULL
666,1,2,42,162185,NULL
667,1,3,35,162185,NULL
668,1,4,42,162185,NULL
669,0,1,35,162186,NULL
670,0,2,42,162186,NULL
671,0,3,35,162186,NULL
672,0,4,42,162186,NULL
673,1,1,35,162186,NULL
674,1,2,42,162186,NULL
675,1,3,35,162186,NULL
676,1,4,42,162186,NULL
677,0,1,35,162055,NULL
678,0,2,35,162055,NULL
679,0,3,35,162055,NULL
680,1,1,35,162055,NULL
681,1,2,35,162055,NULL
682,1,3,35,162055,NULL
693,0,4,35,162065,2a55674c-bc41-4a63-85fe-b34600f67245
694,0,1,35,162065,d7378be4-860f-406b-8809-b34600f67245
695,1,1,35,162065,7b1fa793-7161-41e2-8aec-b34600f67245
696,1,4,35,162065,02f0196b-ce0e-436d-8e6d-b34600f67245
697,1,5,42,162065,44aac26f-b52f-418d-99bc-b34600f67245
698,0,2,42,162065,b39aba9b-1923-4e35-9b5c-b34600f67245
699,1,2,42,162065,c89740e8-18a2-4462-9ce7-b34600f67245
700,0,5,42,162065,53d5b1b6-a8ff-4261-a129-b34600f67245
701,1,3,35,162065,12e15b70-ae01-47ff-a4d8-b34600f67245
702,0,3,35,162065,c894ec07-ed81-42f5-a7f2-b34600f67245
703,0,1,28,157320,NULL
704,0,2,28,157320,NULL
705,0,3,28,157320,NULL
706,0,4,28,157320,NULL
707,0,5,28,157320,NULL
708,0,6,28,157320,NULL
709,0,7,28,157320,NULL
710,0,8,28,157320,NULL
711,0,9,28,157320,NULL
712,0,10,28,157320,NULL
713,0,11,28,157320,NULL
714,0,12,28,157320,NULL
715,0,13,28,157320,NULL
716,0,14,28,157320,NULL
717,1,1,28,157320,NULL
718,1,2,28,157320,NULL
719,1,3,28,157320,NULL
720,1,4,28,157320,NULL
721,1,5,28,157320,NULL
722,1,6,28,157320,NULL
723,1,7,28,157320,NULL
724,1,8,28,157320,NULL
725,1,9,28,157320,NULL
726,1,10,28,157320,NULL
727,1,11,28,157320,NULL
728,1,12,28,157320,NULL
729,1,13,28,157320,NULL
730,1,14,28,157320,NULL
731,0,1,42,154997,NULL
732,0,2,35,154997,NULL
733,0,3,42,154997,NULL
734,0,4,35,154997,NULL
735,1,1,42,154997,NULL
736,1,2,35,154997,NULL
737,1,3,42,154997,NULL
738,1,4,35,154997,NULL
739,0,1,35,159974,NULL
740,0,2,42,159974,NULL
741,0,3,35,159974,NULL
742,0,4,42,159974,NULL
743,1,1,35,159974,NULL
744,1,2,42,159974,NULL
745,1,3,35,159974,NULL
746,1,4,42,159974,NULL
747,0,1,35,162247,NULL
748,0,2,42,162247,NULL
749,0,3,35,162247,NULL
750,0,4,35,162247,NULL
751,0,5,42,162247,NULL
752,1,1,35,162247,NULL
753,1,2,42,162247,NULL
754,1,3,35,162247,NULL
755,1,4,35,162247,NULL
756,1,5,42,162247,NULL
757,0,1,35,160342,NULL
758,0,2,42,160342,NULL
759,0,3,35,160342,NULL
760,0,4,42,160342,NULL
761,1,1,35,160342,NULL
762,1,2,42,160342,NULL
763,1,3,35,160342,NULL
764,1,4,42,160342,NULL
765,0,1,42,162249,NULL
766,0,2,21,162249,NULL
767,1,1,42,162249,NULL
768,1,2,21,162249,NULL
769,0,1,35,160343,NULL
770,0,2,42,160343,NULL
771,0,3,35,160343,NULL
772,0,4,42,160343,NULL
773,1,1,35,160343,NULL
774,1,2,42,160343,NULL
775,1,3,35,160343,NULL
776,1,4,42,160343,NULL
777,0,1,35,162251,NULL
778,0,2,42,162251,NULL
779,0,3,35,162251,NULL
780,0,4,42,162251,NULL
781,1,1,35,162251,NULL
782,1,2,42,162251,NULL
783,1,3,35,162251,NULL
784,1,4,42,162251,NULL
785,0,1,35,159975,NULL
786,0,2,42,159975,NULL
787,0,3,35,159975,NULL
788,0,4,42,159975,NULL
789,1,1,35,159975,NULL
790,1,2,42,159975,NULL
791,1,3,35,159975,NULL
792,1,4,42,159975,NULL
793,0,1,35,158420,NULL
794,0,2,42,158420,NULL
795,0,3,35,158420,NULL
796,0,4,42,158420,NULL
797,1,1,35,158420,NULL
798,1,2,42,158420,NULL
799,1,3,35,158420,NULL
800,1,4,42,158420,NULL
801,0,1,35,159972,NULL
802,0,2,42,159972,NULL
